lambda,compname,minwav,maxwav,linename,type,ngauss,norm,voff,vindex,windex,findex,fvalue,skew_var,gamma_var
6564.61,Ha,6400,6800,Halpha_br,broad,1,0.017,0.015,0,0,0,1,1,1
6564.61,Ha,6400,6800,Halpha_na,narrow,1,0.005,0.005,1,1,0,1,0,1
6549.85,Ha,6400,6800,NII6549,narrow,1,0.001,0.005,1,1,1,1,0,1
6585.28,Ha,6400,6800,NII6585,narrow,1,0.003,0.005,1,1,1,3,0,1
6718.29,Ha,6400,6800,SII6718,narrow,1,0.0004,0.005,1,1,2,1,0,1
6732.67,Ha,6400,6800,SII6732,narrow,1,0.0004,0.005,1,1,2,1,0,1
6365.54,OI,6200,6400,OI6365,narrow,1,0.002,0.005,1,1,0,1,0,1
6302.05,OI,6200,6400,OI6302,narrow,1,0.002,0.005,1,1,0,1,0,1
5877.29,HeI,5780,6030,HeI5877_br,broad,1,0.005,0.01,0,0,0,1,1,0
5877.29,HeI,5780,6030,HeI5877_na,narrow,1,0.002,0.005,1,1,0,1,0,1
5200.53,NI,5187,5273,NI5200,narrow,1,0.002,0.005,1,1,0,1,0,1
4862.68,Hb,4640,5100,Hbeta_br,broad,1,0.009,0.01,0,0,0,1,1,1
4862.68,Hb,4640,5100,Hbeta_na,narrow,1,0.001,0.005,1,1,0,1,0,1
4960.3,Hb,4640,5100,OIII4959,narrow,1,0.001,0.005,1,1,1,1,0,1
5008.24,Hb,4640,5100,OIII5007,narrow,1,0.002,0.005,1,1,1,2.98,0,1
4341.68,Hr,4260,4412,Hgamma_br,broad,1,0.009,0.01,0,0,0,1,1,0
4341.68,Hr,4260,4412,Hgamma_na,narrow,1,0.001,0.005,1,1,0,1,0,1
4364.44,Hr,4260,4412,OIII4363,narrow,1,0.001,0.005,1,1,0,1,0,1
4102.89,Hd,4000,4200,Hdelta_br,broad,1,0.009,0.01,0,0,0,1,1,0
4102.89,Hd,4000,4200,Hdelta_na,narrow,1,0.001,0.005,1,1,0,1,0,1
4072.39,Hd,4000,4200,SII4070,narrow,1,0.001,0.005,1,1,0,1,0,1
3971.2,He,3800,4000,Hepsilon_br,broad,1,0.009,0.01,0,0,0,1,1,0
3971.2,He,3800,4050,Hepsilon_na,narrow,1,0.002,0.005,1,1,0,1,0,1
3889.74,He,3800,4000,HeI3889_br,broad,1,0.009,0.01,0,0,0,1,1,0
3889.74,He,3800,4000,HeI3889_na,narrow,1,0.001,0.005,1,1,0,1,0,1
3869.85,He,3800,4000,NeIII,narrow,1,0.002,0.005,1,1,0,1,0,1
3759.99,OII,3650,3775,FeVII,narrow,1,0.002,0.005,1,1,0,1,0,1
3728.48,OII,3650,3775,OII3727,narrow,1,0.002,0.005,1,1,0,1,0,1
2798.75,MgII,2700,2900,MgII,mix,1,0.025,0.01,0,0,0,1,1,1
1908.73,CIII,1800,2000,CIII,mix,1,0.05,0.015,0,0,0,1,1,1
1857.4,CIII,1800,2000,AlIII1857,mix,1,0.001,0.003,1,1,0,1,0,1
1549.06,CIV,1500,1700,CIV,mix,1,0.1,0.015,0,0,0,1,1,1
1640.42,CIV,1500,1700,HeII1640,mix,1,0.001,0.008,1,1,0,1,0,1
1663.48,CIV,1500,1700,OIII1663,mix,1,0.0001,0.008,1,1,0,1,0,1
1215.67,Lya,1150,1290,Lya,mix,1,0.27,0.02,0,0,0,1,1,1
1240.14,Lya,1150,1290,NV1240,mix,1,0.004,0.005,0,0,0,1,1,1
